Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1988-04-05,35.25,35.62,35.25,35.62,427400.0,0.0,1.0,2.3668553309117,2.3916989187822,2.3668553309117,2.3916989187822,1709600.0
1988-04-06,35.75,37.0,35.62,36.25,392100.0,0.0,1.0,2.400427746953,2.4843587870562,2.3916989187822,2.4340001629943,1568400.0
1988-04-07,36.5,36.62,36.12,36.25,467000.0,0.0,1.0,2.4507863710149,2.4588437508648,2.4252713348235,2.4340001629943,1868000.0
1988-04-08,36.12,36.5,35.88,36.38,487500.0,0.0,1.0,2.4252713348235,2.4507863710149,2.4091565751237,2.442728991165,1950000.0
1988-04-11,36.5,36.75,36.25,36.5,308500.0,0.0,1.0,2.4507863710149,2.4675725790356,2.4340001629943,2.4507863710149,1234000.0
1988-04-12,36.5,36.62,36.25,36.5,245400.0,0.0,1.0,2.4507863710149,2.4588437508648,2.4340001629943,2.4507863710149,981600.0
1988-04-13,36.75,36.88,36.38,36.62,229600.0,0.0,1.0,2.4675725790356,2.4763014072063,2.442728991165,2.4588437508648,918400.0
1988-04-14,36.25,36.38,35.38,35.75,427700.0,0.0,1.0,2.4340001629943,2.442728991165,2.3755841590824,2.400427746953,1710800.0
1988-04-15,35.38,35.5,35.12,35.38,430500.0,0.0,1.0,2.3755841590824,2.3836415389323,2.3581265027409,2.3755841590824,1722000.0
1988-04-18,35.38,35.38,35.0,35.25,148300.0,0.0,1.0,2.3755841590824,2.3755841590824,2.350069122891,2.3668553309117,593200.0
1988-04-19,35.12,35.88,35.12,35.25,309400.0,0.0,1.0,2.3581265027409,2.4091565751237,2.3581265027409,2.3668553309117,1237600.0
1988-04-20,35.25,35.5,34.62,34.88,437700.0,0.0,1.0,2.3668553309117,2.3836415389323,2.3245540866996,2.3420117430411,1750800.0
1988-04-21,35.0,35.62,34.62,35.12,361800.0,0.0,1.0,2.350069122891,2.3916989187822,2.3245540866996,2.3581265027409,1447200.0
1988-04-22,34.88,35.5,34.62,35.38,430100.0,0.0,1.0,2.3420117430411,2.3836415389323,2.3245540866996,2.3755841590824,1720400.0
1988-04-25,35.5,35.75,35.25,35.62,271400.0,0.0,1.0,2.3836415389323,2.400427746953,2.3668553309117,2.3916989187822,1085600.0
1988-04-26,35.62,36.38,35.38,36.38,466800.0,0.0,1.0,2.3916989187822,2.442728991165,2.3755841590824,2.442728991165,1867200.0
1988-04-27,36.12,36.38,35.75,35.75,360400.0,0.0,1.0,2.4252713348235,2.442728991165,2.400427746953,2.400427746953,1441600.0
1988-04-28,35.75,35.75,35.25,35.5,303900.0,0.0,1.0,2.400427746953,2.400427746953,2.3668553309117,2.3836415389323,1215600.0
1988-04-29,35.5,35.5,34.75,35.25,548800.0,0.0,1.0,2.3836415389323,2.3836415389323,2.3332829148704,2.3668553309117,2195200.0
1988-05-02,35.38,35.5,34.88,35.12,391700.0,0.0,1.0,2.3755841590824,2.3836415389323,2.3420117430411,2.3581265027409,1566800.0
1988-05-03,35.25,35.62,35.0,35.25,172100.0,0.0,1.0,2.3668553309117,2.3916989187822,2.350069122891,2.3668553309117,688400.0
1988-05-04,35.38,35.5,34.75,34.75,249000.0,0.0,1.0,2.3755841590824,2.3836415389323,2.3332829148704,2.3332829148704,996000.0
1988-05-05,34.62,34.62,34.25,34.38,402800.0,0.0,1.0,2.3245540866996,2.3245540866996,2.2997104988291,2.3084393269998,1611200.0
1988-05-06,34.38,34.75,34.0,34.25,544600.0,0.0,1.0,2.3084393269998,2.3332829148704,2.2829242908084,2.2997104988291,2178400.0
1988-05-09,34.12,34.5,34.0,34.12,401400.0,0.0,1.0,2.2909816706583,2.3164967068497,2.2829242908084,2.2909816706583,1605600.0
1988-05-10,34.0,34.62,34.0,34.38,513300.0,0.0,1.0,2.2829242908084,2.3245540866996,2.2829242908084,2.3084393269998,2053200.0
1988-05-11,34.0,34.0,33.62,34.0,360100.0,0.0,1.0,2.2829242908084,2.2829242908084,2.257409254617,2.2829242908084,1440400.0
1988-05-12,34.0,34.88,33.88,34.88,608100.0,0.0,1.0,2.2829242908084,2.3420117430411,2.2748669109585,2.3420117430411,2432400.0
1988-05-13,35.12,35.88,34.88,35.75,551300.0,0.0,1.0,2.3581265027409,2.4091565751237,2.3420117430411,2.400427746953,2205200.0
1988-05-16,35.62,36.0,35.5,36.0,418800.0,0.0,1.0,2.3916989187822,2.4172139549736,2.3836415389323,2.4172139549736,1675200.0
1988-05-17,36.25,36.38,35.62,35.88,489200.0,0.0,1.0,2.4340001629943,2.442728991165,2.3916989187822,2.4091565751237,1956800.0
1988-05-18,35.62,35.88,35.38,35.5,428000.0,0.0,1.0,2.3916989187822,2.4091565751237,2.3755841590824,2.3836415389323,1712000.0
1988-05-19,35.38,35.88,35.25,35.75,412900.0,0.0,1.0,2.3755841590824,2.4091565751237,2.3668553309117,2.400427746953,1651600.0
1988-05-20,36.0,36.12,35.62,35.75,221700.0,0.0,1.0,2.4172139549736,2.4252713348235,2.3916989187822,2.400427746953,886800.0
1988-05-23,35.75,36.0,35.5,35.62,198900.0,0.0,1.0,2.400427746953,2.4172139549736,2.3836415389323,2.3916989187822,795600.0
1988-05-24,35.88,36.38,35.5,36.25,237500.0,0.0,1.0,2.4091565751237,2.442728991165,2.3836415389323,2.4340001629943,950000.0
1988-05-25,36.38,36.5,36.0,36.0,264600.0,0.0,1.0,2.442728991165,2.4507863710149,2.4172139549736,2.4172139549736,1058400.0
1988-05-26,36.12,36.62,36.0,36.5,319100.0,0.0,1.0,2.4252713348235,2.4588437508648,2.4172139549736,2.4507863710149,1276400.0
1988-05-27,36.5,36.62,36.38,36.62,128800.0,0.0,1.0,2.4507863710149,2.4588437508648,2.442728991165,2.4588437508648,515200.0
1988-05-31,37.0,38.0,36.88,38.0,389100.0,0.0,1.0,2.4843587870562,2.5515036191388,2.4763014072063,2.5515036191388,1556400.0
1988-06-01,38.38,38.38,37.88,38.12,1300000.0,0.0,1.0,2.5770186553302,2.5770186553302,2.5434462392889,2.5595609989887,5200000.0
1988-06-02,38.38,38.38,37.62,37.88,374600.0,0.0,1.0,2.5770186553302,2.5770186553302,2.5259885829474,2.5434462392889,1498400.0
1988-06-03,37.88,38.0,37.62,38.0,308500.0,0.0,1.0,2.5434462392889,2.5515036191388,2.5259885829474,2.5515036191388,1234000.0
1988-06-06,37.75,37.88,37.38,37.62,292700.0,0.0,1.0,2.5347174111182,2.5434462392889,2.5098738232476,2.5259885829474,1170800.0
1988-06-07,37.5,37.88,37.0,37.38,245100.0,0.0,1.0,2.5179312030975,2.5434462392889,2.4843587870562,2.5098738232476,980400.0
1988-06-08,37.62,38.75,37.5,38.62,438400.0,0.0,1.0,2.5259885829474,2.6018622432008,2.5179312030975,2.59313341503,1753600.0
1988-06-09,38.88,38.88,38.25,38.5,452900.0,0.0,1.0,2.6105910713715,2.6105910713715,2.5682898271595,2.5850760351801,1811600.0
1988-06-10,38.75,39.5,38.75,39.25,440700.0,0.0,1.0,2.6018622432008,2.6522208672627,2.6018622432008,2.6354346592421,1762800.0
1988-06-13,39.25,39.38,38.12,38.25,327200.0,0.0,1.0,2.6354346592421,2.6441634874128,2.5595609989887,2.5682898271595,1308800.0
1988-06-14,38.75,39.12,38.62,38.88,491000.0,0.0,1.0,2.6018622432008,2.6267058310713,2.59313341503,2.6105910713715,1964000.0
1988-06-15,38.88,39.25,38.62,38.88,582800.0,0.0,1.0,2.6105910713715,2.6354346592421,2.59313341503,2.6105910713715,2331200.0
1988-06-16,38.88,38.88,38.12,38.25,461400.0,0.0,1.0,2.6105910713715,2.6105910713715,2.5595609989887,2.5682898271595,1845600.0
1988-06-17,38.5,38.62,38.0,38.25,761300.0,0.0,1.0,2.5850760351801,2.59313341503,2.5515036191388,2.5682898271595,3045200.0
1988-06-20,38.25,38.5,38.12,38.38,190000.0,0.0,1.0,2.5682898271595,2.5850760351801,2.5595609989887,2.5770186553302,760000.0
1988-06-21,38.38,39.38,38.38,39.38,278900.0,0.0,1.0,2.5770186553302,2.6441634874128,2.5770186553302,2.6441634874128,1115600.0
1988-06-22,40.0,40.38,39.5,39.88,752000.0,0.0,1.0,2.685793283304,2.7113083194954,2.6522208672627,2.6777359034541,3008000.0
1988-06-23,39.88,39.88,39.5,39.75,331000.0,0.0,1.0,2.6777359034541,2.6777359034541,2.6522208672627,2.6690070752834,1324000.0
1988-06-24,39.88,40.0,39.62,39.62,292200.0,0.0,1.0,2.6777359034541,2.685793283304,2.6602782471126,2.6602782471126,1168800.0
1988-06-27,39.75,39.75,38.75,39.12,475800.0,0.0,1.0,2.6690070752834,2.6690070752834,2.6018622432008,2.6267058310713,1903200.0
1988-06-28,39.12,39.88,38.88,39.75,329400.0,0.0,1.0,2.6267058310713,2.6777359034541,2.6105910713715,2.6690070752834,1317600.0
1988-06-29,39.62,39.88,39.0,39.12,390600.0,0.0,1.0,2.6602782471126,2.6777359034541,2.6186484512214,2.6267058310713,1562400.0
1988-06-30,39.25,39.88,39.25,39.62,34935600.0,0.0,1.0,2.6354346592421,2.6777359034541,2.6354346592421,2.6602782471126,139742400.0
1988-07-01,39.0,39.25,38.5,38.88,918800.0,0.62,1.0,2.660406734137,2.6774606234584,2.6262989554942,2.6522208672627,3675200.0
1988-07-05,38.62,38.75,38.25,38.62,882200.0,0.0,1.0,2.6344848223685,2.6433528448156,2.6092450661728,2.6344848223685,3528800.0
1988-07-06,38.62,39.12,37.5,37.62,311000.0,0.0,1.0,2.6344848223685,2.6685926010113,2.5580833982087,2.5662692650829,1244000.0
1988-07-07,37.75,38.25,37.62,38.25,265900.0,0.0,1.0,2.57513728753,2.6092450661728,2.5662692650829,2.6092450661728,1063600.0
1988-07-08,38.25,38.5,38.0,38.5,248300.0,0.0,1.0,2.6092450661728,2.6262989554942,2.5921911768514,2.6262989554942,993200.0
1988-07-11,38.38,38.88,38.38,38.62,341800.0,0.0,1.0,2.6181130886199,2.6522208672627,2.6181130886199,2.6344848223685,1367200.0
1988-07-12,38.62,38.75,37.75,37.75,439400.0,0.0,1.0,2.6344848223685,2.6433528448156,2.57513728753,2.57513728753,1757600.0
1988-07-13,37.88,38.12,36.25,37.75,422500.0,0.0,1.0,2.5840053099772,2.6003770437257,2.4728139516017,2.57513728753,1690000.0
1988-07-14,37.88,38.12,37.75,38.12,401300.0,0.0,1.0,2.5840053099772,2.6003770437257,2.57513728753,2.6003770437257,1605200.0
1988-07-15,38.0,38.12,37.38,38.12,451100.0,0.0,1.0,2.5921911768514,2.6003770437257,2.5498975313344,2.6003770437257,1804400.0
1988-07-18,38.12,38.12,37.62,38.12,209200.0,0.0,1.0,2.6003770437257,2.6003770437257,2.5662692650829,2.6003770437257,836800.0
1988-07-19,38.0,38.12,37.5,37.62,211000.0,0.0,1.0,2.5921911768514,2.6003770437257,2.5580833982087,2.5662692650829,844000.0
1988-07-20,37.88,38.0,37.75,37.88,188800.0,0.0,1.0,2.5840053099772,2.5921911768514,2.57513728753,2.5840053099772,755200.0
