Date;Basic EPS;Level_0
31/12/09;2.06;AT&T
31/12/10;3.36;AT&T
31/12/11;0.66;AT&T
31/12/12;1.25;AT&T
31/12/13;3.42;AT&T
31/12/14;1.24;AT&T
31/12/15;2.37;AT&T
31/12/16;2.1;AT&T
31/12/17;4.77;AT&T
31/12/18;2.85;AT&T
